Year,Asia,Australia,Europe,North America,South America,Africa
2000,70.93858696,70.10206897,76.81321509,73.71464174,72.78079096,58.37396938
2001,70.94582328,70.17724138,77.45018149,73.70529595,72.78926554,58.34405183
2002,71.18737589,70.25172414,77.43602908,73.69626168,72.79830508,58.404947
2003,71.18056738,70.3462069,77.42763095,73.68753894,72.8039548,58.43663133
2004,71.17361702,70.46068966,77.41938834,73.6788162,72.81694915,58.46937574
2005,71.16666667,70.53931034,77.41114572,73.66978193,72.8259887,58.50306243
2006,71.15914894,70.61724138,77.40368072,73.66137072,72.83502825,58.53698469
2007,71.15134752,70.68827586,77.398393,73.65264798,72.84180791,58.57043581
2008,71.14382979,70.74551724,77.39186112,73.64361371,72.85310734,58.60282686
2009,71.1364539,70.79172414,77.38641788,73.63489097,72.86666667,58.63368669
2010,71.12893617,70.81862069,77.37895288,73.6258567,72.87740113,58.66277974
2011,71.12156028,70.89448276,77.37055474,73.6165109,72.88870056,58.68928151
2012,71.11432624,70.97103448,77.35640233,73.60778816,72.90056497,58.7130742
2013,71.10751773,71.04758621,77.32794199,73.59937695,72.91355932,58.73510012
2014,71.09971631,71.12413793,77.32296532,73.59096573,72.92711864,58.75559482
2015,71.09914894,71.20068966,77.32296532,73.58255452,72.94067797,58.77491166
